match_date,tournament,tournament_level,round,best_of,winner_name,loser_name,winner_hand,loser_hand,winner_rank,loser_rank,w_games_won,l_games_won,w_points_won,l_points_won,w_deuce_games_won,w_deuce_games_played,l_deuce_games_won,l_deuce_games_played,w_first_game_won,winner_won_from_down
2021-07-07,Open Series,OT,SF,5,Maria PRT09,Felix FRA39,L,R,48,59,3,0,34,18,1,1,0,1,1,0
2021-07-07,Open Series,OT,QF,5,Wei IND35,Mima KOR16,R,R,15,46,3,0,33,18,0,0,0,0,1,0
2021-07-07,Open Series,OT,R64,5,Petar GER08,Felix FRA39,R,R,6,59,3,0,14,33,0,0,0,0,1,0
2021-07-07,Open Series,OT,QF,5,Sun KOR02,Yuki ESP58,R,R,26,25,3,0,33,11,0,0,0,0,1,0
2021-07-07,Open Series,OT,R16,5,Diogo SVK42,Chen-Yu FRA47,R,R,7,30,3,0,17,34,1,1,0,1,1,0
2021-07-07,Open Series,OT,SF,5,Mima KOR16,Yuki GER51,R,R,46,19,4,3,15,33,0,0,0,0,0,1
2021-07-07,Open Series,OT,QF,5,Felix BRA34,Ji-Hee GER01,R,R,35,39,3,0,20,35,1,1,0,1,1,0
2021-07-07,Open Series,OT,R32,5,Ji-Hee GER29,Saki PRT14,R,R,4,20,3,1,23,44,0,0,0,0,0,1
2021-07-07,Open Series,OT,R32,5,Saki PRT14,Felix PRT22,R,R,20,29,3,0,33,26,0,0,0,0,1,0
2021-07-07,Open Series,OT,SF,5,Ho-Yan PRT59,Yuki ESP58,R,R,24,25,3,1,21,44,0,0,0,0,0,1
2021-07-07,Open Series,OT,QF,5,Felix BRA34,Felix GER26,R,R,35,52,3,0,33,12,0,0,0,0,1,0
2021-07-08,Open Series,OT,R32,5,Anna TPE15,Lukas USA13,R,R,38,55,3,0,12,33,0,0,0,0,1,0
2021-07-08,Open Series,OT,R64,5,Min KOR38,Andrei KOR43,R,L,31,41,3,2,36,55,0,0,0,0,1,0
2021-07-08,Open Series,OT,F,5,Mima IND03,Saki BRA21,L,R,18,42,4,3,35,25,0,1,1,1,0,1
2021-07-08,Open Series,OT,SF,5,Yuki ESP58,Ji-Hee GER01,R,R,25,39,4,3,46,27,0,1,1,1,0,1
2021-07-08,Open Series,OT,SF,5,Ho-Yan PRT59,Felix GER26,R,R,24,52,3,0,16,33,0,0,0,0,1,0
2021-07-08,Open Series,OT,SF,5,Ethan AUT48,Wei PRT31,L,R,16,34,3,0,33,16,0,0,0,0,1,0
2021-07-08,Open Series,OT,R32,5,Ji-Hee GER29,Yuki KOR12,R,R,4,49,3,0,12,33,0,0,0,0,1,0
2021-07-08,Open Series,OT,SF,5,Ji-Hee GER29,Saki PRT14,R,R,4,20,3,0,33,14,0,0,0,0,1,0
2021-07-08,Open Series,OT,R64,5,Saki BRA21,Min KOR38,R,R,42,31,4,3,33,19,0,0,0,0,0,1
2021-07-08,Open Series,OT,SF,5,Pamela KOR25,Ho-Yan PRT59,L,R,1,24,3,0,2,33,0,0,0,0,1,0
2021-07-08,Open Series,OT,R32,5,Anna BRA41,Wen-Lin SWE40,R,R,32,54,3,0,16,33,0,0,0,0,1,0
2021-07-08,Open Series,OT,R64,5,Anders POL53,Wen-Lin SWE40,R,R,12,54,3,0,33,7,0,0,0,0,1,0
2021-07-08,Open Series,OT,F,5,Mima KOR16,Anna BRA41,R,R,46,32,3,2,55,37,0,0,0,0,0,1
2021-07-08,Open Series,OT,R16,5,Anna SWE06,Wen-Lin SWE40,R,R,36,54,3,2,56,40,1,1,0,1,0,1
2021-07-08,Open Series,OT,R16,5,Pamela TPE30,Min ESP10,R,R,33,58,3,0,33,6,0,0,0,0,1,0
2021-07-08,Open Series,OT,QF,5,Ji-Hee USA18,Sun KOR02,L,R,43,26,4,3,33,19,0,0,0,0,0,1
2021-07-09,Open Series,OT,R16,5,Ho-Yan PRT59,Anna SWE06,R,R,24,36,3,0,33,15,0,0,0,0,1,0
2021-07-09,Open Series,OT,R32,5,Felix GER26,Sun SVK11,R,L,52,40,4,3,33,12,0,0,0,0,0,1
2021-07-09,Open Series,OT,R64,5,Saki JPN55,Anna SWE06,R,R,10,36,3,1,26,44,0,0,0,0,1,0
2021-07-09,Open Series,OT,R64,5,Sun KOR02,David AUT57,R,R,26,47,3,0,11,33,0,0,0,0,1,0
2021-07-09,Open Series,OT,QF,5,Ji-Hee GER29,Anna TPE15,R,R,4,38,3,0,33,8,0,0,0,0,1,0
2021-07-09,Open Series,OT,R64,5,Chen-Yu FRA47,Wei TPE05,R,R,30,44,3,0,33,16,0,0,0,0,1,0
2021-07-09,Open Series,OT,R16,5,Chen-Yu TPE23,Felix GER26,R,R,8,52,3,0,33,11,0,0,0,0,1,0
2021-07-09,Open Series,OT,R32,5,Pawel POL50,Felix FRA39,R,R,56,59,3,0,34,18,1,1,0,1,1,0
2021-07-09,Open Series,OT,F,5,Ethan AUT48,Petar GER08,L,R,16,6,3,1,44,17,0,0,0,0,0,1
2021-07-09,Open Series,OT,SF,5,Lukas ROU52,Felix FRA39,R,R,27,59,3,0,33,8,0,0,0,0,1,0
2021-07-09,Open Series,OT,R16,5,Sun USA44,Min USA54,R,R,23,60,3,1,45,25,1,1,0,1,0,1
2021-07-09,Open Series,OT,R16,5,Ji-Hee GER29,Andrei JPN19,R,R,4,3,3,1,29,44,0,0,0,0,1,0
2021-07-09,Open Series,OT,QF,5,Min KOR38,Andrei KOR43,R,L,31,41,3,0,23,33,0,0,0,0,1,0
2021-07-09,Open Series,OT,SF,5,Ji-Hee USA18,Ji-Hee GER01,L,R,43,39,3,1,26,44,0,0,0,0,1,0
2021-07-10,Open Series,OT,R16,5,Anna BRA41,Wei GER00,R,L,32,21,3,2,58,40,1,1,0,1,0,1
2021-07-10,Open Series,OT,R16,5,Anna SWE06,Daniel KOR27,R,R,36,53,3,0,19,33,0,0,0,0,1,0
2021-07-10,Open Series,OT,QF,5,Maria PRT09,Wei GER00,L,L,48,21,4,3,33,15,0,0,0,0,0,1
2021-07-10,Open Series,OT,SF,5,Andrei KOR43,Wen-Lin SWE40,L,R,41,54,3,1,24,44,0,0,0,0,0,1
2021-07-10,Open Series,OT,SF,5,Chen-Yu FRA47,Anna BRA41,R,R,30,32,3,2,57,32,0,1,1,1,1,0
2021-07-10,Open Series,OT,R32,5,Sun SVK11,Chen-Yu FRA47,L,R,40,30,4,3,33,16,0,0,0,0,0,1
2021-07-10,Open Series,OT,R64,5,Pamela KOR25,Saki PRT14,L,R,1,20,3,0,33,11,0,0,0,0,1,0
2021-07-10,Open Series,OT,QF,5,Diogo SVK42,Felix PRT22,R,R,7,29,3,0,19,33,0,0,0,0,1,0
2021-07-10,Open Series,OT,F,5,Min CHN56,Saki HKG33,L,R,2,51,3,0,33,6,0,0,0,0,1,0
2021-07-10,Open Series,OT,R64,5,Aarush PRT28,Anders POL53,R,R,28,12,4,3,18,35,0,1,1,1,0,1
2021-07-10,Open Series,OT,SF,5,Felix PRT22,Yuki GER51,R,R,29,19,3,2,65,45,1,1,0,1,0,1
2021-07-10,Open Series,OT,R32,5,Ethan AUT48,Saki HKG33,L,R,16,51,3,0,8,33,0,0,0,0,1,0
2021-07-10,Open Series,OT,R64,5,Daniel KOR27,Pawel POL50,R,R,53,56,3,2,59,41,1,1,0,1,1,0
2021-07-10,Open Series,OT,F,5,Yuki GER51,Felix PRT22,R,R,19,29,3,2,36,57,1,2,1,2,1,0
2021-07-10,Open Series,OT,F,5,Sun SVK11,Ho-Yan PRT59,L,R,40,24,4,3,60,46,0,2,2,2,1,0
2021-07-10,Open Series,OT,R16,5,Chen-Yu FRA47,Saki BRA21,R,R,30,42,3,0,15,33,0,0,0,0,1,0
2021-07-10,Open Series,OT,R32,5,Yuki KOR12,Ji-Hee GER01,R,R,49,39,3,2,41,58,1,2,1,2,1,0
2021-07-10,Open Series,OT,R16,5,Mima IND03,Anders POL53,L,R,18,12,4,3,20,33,0,0,0,0,0,1
2021-07-11,Open Series,OT,R32,5,Daniel PRT17,Felix FRA39,R,R,50,59,3,0,33,12,0,0,0,0,1,0
2021-07-11,Open Series,OT,R64,5,Andrei JPN19,Pamela KOR25,R,L,3,1,4,3,33,10,0,0,0,0,0,1
2021-07-11,Open Series,OT,QF,5,Anna BRA41,Min ROU46,R,R,32,45,3,0,16,33,0,0,0,0,1,0
2021-07-11,Open Series,OT,SF,5,Ji-Hee GER01,Daniel KOR27,R,R,39,53,4,3,24,44,0,0,0,0,0,1
2021-07-11,Open Series,OT,R32,5,Ethan HKG37,Ji-Hee USA18,L,L,13,43,3,1,44,28,0,0,0,0,1,0
2021-07-11,Open Series,OT,F,5,Ji-Hee GER29,Anna BRA04,R,R,4,37,3,0,33,13,0,0,0,0,1,0
2021-07-11,Open Series,OT,QF,5,Wei GER00,Chen-Yu TPE23,L,R,21,8,4,3,33,18,0,0,0,0,0,1
2021-07-11,Open Series,OT,QF,5,Saki JPN55,Saki PRT14,R,R,10,20,3,0,34,26,1,1,0,1,1,0
2021-07-11,Open Series,OT,R16,5,Petar GER08,Min KOR38,R,R,6,31,4,3,58,44,0,2,2,2,1,0
2021-07-11,Open Series,OT,QF,5,Min USA45,Mima KOR16,R,R,17,46,3,0,14,33,0,0,0,0,1,0
2021-07-11,Open Series,OT,QF,5,Petar ESP24,Min USA54,R,R,11,60,3,1,44,20,0,0,0,0,1,0
2021-07-11,Open Series,OT,F,5,Mima IND03,Andrei KOR43,L,L,18,41,3,2,39,57,1,2,1,2,0,1
2021-07-11,Open Series,OT,QF,5,Saki PRT14,Aarush PRT28,R,R,20,28,3,0,17,33,0,0,0,0,1,0
2021-07-11,Open Series,OT,R16,5,Ji-Hee GER01,Yuki KOR12,R,R,39,49,3,1,32,50,1,1,0,1,1,0
2021-07-11,Open Series,OT,QF,5,Anna TPE15,Aarush PRT28,R,R,38,28,4,3,54,69,2,2,0,2,0,1
2021-07-11,Open Series,OT,R16,5,Sun KOR02,Daniel KOR27,R,R,26,53,3,0,33,9,0,0,0,0,1,0
2021-07-12,Open Series,OT,QF,5,Wei AUT36,Andrei JPN19,R,R,9,3,4,3,22,33,0,0,0,0,0,1
2021-07-12,Open Series,OT,SF,5,Sun KOR02,David AUT57,R,R,26,47,3,0,10,33,0,0,0,0,1,0
2021-07-12,Open Series,OT,F,5,Andrei KOR43,David AUT57,L,R,41,47,3,0,33,17,0,0,0,0,1,0
2021-07-12,Open Series,OT,R16,5,Diogo SVK42,Yuki GER51,R,R,7,19,3,0,18,33,0,0,0,0,1,0
2021-07-12,Open Series,OT,R16,5,Andrei JPN19,Chen-Yu FRA47,R,R,3,30,3,0,6,33,0,0,0,0,1,0
2021-07-12,Open Series,OT,SF,5,Anna TPE15,Saki BRA21,R,R,38,42,4,3,55,31,0,0,0,0,0,1
2021-07-12,Open Series,OT,QF,5,Wei TPE05,Yuki ESP58,R,R,44,25,4,3,45,28,1,1,0,1,0,1
2021-07-12,Open Series,OT,R32,5,Wei GER00,Ji-Hee GER49,L,R,21,57,3,0,33,8,0,0,0,0,1,0
2021-07-12,Open Series,OT,R64,5,Min USA45,Anna SWE06,R,R,17,36,3,0,33,14,0,0,0,0,1,0
2021-07-12,Open Series,OT,R64,5,Chen-Yu TPE23,Andrei KOR43,R,L,8,41,3,0,16,33,0,0,0,0,1,0
2021-07-12,Open Series,OT,R64,5,Saki HKG33,Yuki ESP58,R,R,51,25,4,3,29,44,0,0,0,0,1,0
2021-07-12,Open Series,OT,R16,5,Andrei JPN19,Yuki ESP58,R,R,3,25,3,0,33,16,0,0,0,0,1,0
2021-07-12,Open Series,OT,R64,5,Saki JPN55,Anders POL53,R,R,10,12,4,3,32,56,1,1,0,1,0,1
2021-07-14,WTT Champions,CH,R32,7,Anders POL53,Min USA54,R,R,12,60,4,0,16,44,0,0,0,0,1,0
2021-07-14,WTT Champions,CH,SF,7,Aarush PRT28,Lukas ROU52,R,R,28,27,5,4,30,45,0,1,1,1,0,1
2021-07-14,WTT Champions,CH,R64,7,Ji-Hee USA18,Daniel PRT17,L,R,43,50,4,0,44,25,0,0,0,0,1,0
2021-07-14,WTT Champions,CH,R32,7,Ethan HKG37,Saki BRA21,L,R,13,42,4,0,44,22,0,0,0,0,1,0
2021-07-14,WTT Champions,CH,R16,7,Felix BRA34,Petar ESP24,R,R,35,11,5,4,46,81,1,1,0,1,0,1
2021-07-14,WTT Champions,CH,SF,7,Sun USA44,Ji-Hee GER01,R,R,23,39,5,4,38,55,0,0,0,0,0,1
2021-07-14,WTT Champions,CH,F,7,Sun USA44,Anna BRA41,R,R,23,32,5,4,38,50,0,2,2,2,0,1
2021-07-14,WTT Champions,CH,R64,7,Felix GER26,Ethan HKG37,R,L,52,13,5,4,14,44,0,0,0,0,0,1
2021-07-14,WTT Champions,CH,R32,7,Min USA45,Wei PRT31,R,R,17,34,4,0,21,44,0,0,0,0,1,0
2021-07-14,WTT Champions,CH,QF,7,Diogo SVK42,Mima IND03,R,L,7,18,4,0,44,24,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R64,7,Andrei JPN19,Maria PRT09,R,L,3,48,4,0,44,13,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R64,7,Daniel PRT17,Ji-Hee GER01,R,R,50,39,5,4,55,37,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R16,7,Ji-Hee USA18,Daniel KOR27,L,R,43,53,4,0,44,22,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R64,7,Felix BRA34,Saki BRA21,R,R,35,42,4,0,44,19,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,QF,7,Saki BRA21,Lukas USA13,R,R,42,55,4,2,36,66,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R64,7,Petar ESP24,Anna BRA04,R,R,11,37,5,4,46,33,0,2,2,2,0,1
2021-07-15,WTT Champions,CH,QF,7,Ji-Hee USA18,Wei PRT31,L,R,43,34,4,0,29,49,1,1,0,1,1,0
2021-07-15,WTT Champions,CH,QF,7,Andrei JPN19,Yuki KOR12,R,R,3,49,4,0,44,7,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R16,7,Ji-Hee GER29,Lukas ROU52,R,R,4,27,4,0,18,44,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R64,7,Andrei JPN19,Chen-Yu FRA47,R,R,3,30,4,0,25,44,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R64,7,Andrei KOR43,Lukas USA13,L,R,41,55,4,0,44,25,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R32,7,Chen-Yu FRA47,Sun SVK11,R,L,30,40,4,2,53,70,2,4,2,4,1,0
2021-07-15,WTT Champions,CH,R32,7,Saki PRT14,Min USA54,R,R,20,60,4,0,22,45,1,1,0,1,1,0
2021-07-15,WTT Champions,CH,SF,7,Felix PRT22,Daniel PRT17,R,R,29,50,4,0,20,44,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R16,7,Pamela KOR25,Joao KOR20,L,R,1,5,4,0,12,44,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,QF,7,Ethan HKG37,Wei TPE05,L,R,13,44,4,0,10,44,0,0,0,0,1,0
2021-07-15,WTT Champions,CH,R32,7,Maria PRT09,Ji-Hee GER49,L,R,48,57,4,0,8,44,0,0,0,0,1,0
2021-07-16,WTT Champions,CH,R16,7,Andrei JPN19,Yuki GER51,R,R,3,19,4,0,44,12,0,0,0,0,1,0
2021-07-16,WTT Champions,CH,QF,7,Pamela KOR25,Ji-Hee GER29,L,R,1,4,4,0,44,15,0,0,0,0,1,0
2021-07-16,WTT Champions,CH,SF,7,Wei AUT36,Wei IND35,R,R,9,15,5,4,71,85,3,5,2,5,0,1
2021-07-16,WTT Champions,CH,R16,7,Wei PRT31,Daniel KOR27,R,R,34,53,4,2,67,35,0,1,1,1,1,0
2021-07-16,WTT Champions,CH,R64,7,Min CHN56,Maria PRT09,L,L,2,48,4,0,17,44,0,0,0,0,1,0
2021-07-16,WTT Champions,CH,SF,7,Min USA45,Ji-Hee GER01,R,R,17,39,4,1,36,57,1,1,0,1,1,0
2021-07-16,WTT Champions,CH,R64,7,Chen-Yu TPE23,Mima KOR16,R,R,8,46,4,0,44,19,0,0,0,0,1,0
2021-07-16,WTT Champions,CH,F,7,Anna BRA41,Maria PRT09,R,L,32,48,4,1,57,31,0,1,1,1,0,1
2021-07-16,WTT Champions,CH,QF,7,Min USA45,Chen-Yu FRA47,R,R,17,30,4,0,44,20,0,0,0,0,1,0
2021-07-16,WTT Champions,CH,QF,7,Felix GER26,Mima KOR16,R,R,52,46,5,4,47,25,0,1,1,1,0,1
2021-07-16,WTT Champions,CH,F,7,Felix PRT22,Sun USA44,R,R,29,23,4,0,22,44,0,0,0,0,1,0
2021-07-16,WTT Champions,CH,R64,7,Min ESP10,Pawel POL50,R,R,58,56,4,3,54,79,0,1,1,1,0,1
2021-07-17,WTT Champions,CH,R32,7,Daniel PRT17,Yuki KOR12,R,R,50,49,5,4,56,37,0,1,1,1,0,1
2021-07-17,WTT Champions,CH,QF,7,Sun USA44,Lukas USA13,R,R,23,55,4,0,25,44,0,0,0,0,1,0
2021-07-17,WTT Champions,CH,QF,7,Pamela KOR25,David AUT57,L,R,1,47,4,0,12,44,0,0,0,0,1,0
2021-07-17,WTT Champions,CH,QF,7,Pamela TPE30,Anna BRA41,R,R,33,32,4,0,20,46,1,1,0,1,1,0
2021-07-17,WTT Champions,CH,R32,7,Pawel POL50,Felix FRA39,R,R,56,59,4,0,44,23,0,0,0,0,1,0
2021-07-17,WTT Champions,CH,SF,7,Wei PRT31,Ho-Yan PRT59,R,R,34,24,5,4,44,23,0,0,0,0,0,1
2021-07-17,WTT Champions,CH,QF,7,Anders POL53,Pamela TPE30,R,R,12,33,5,4,80,61,2,2,0,2,1,0
2021-07-17,WTT Champions,CH,F,7,Maria PRT09,Mima KOR16,L,R,48,46,5,4,33,45,0,1,1,1,0,1
2021-07-18,WTT Champions,CH,R64,7,Mima KOR16,Yuki ESP58,R,R,46,25,4,0,37,49,2,2,0,2,1,0
2021-07-18,WTT Champions,CH,F,7,Diogo SVK42,Min ESP10,R,R,7,58,4,0,44,15,0,0,0,0,1,0
2021-07-18,WTT Champions,CH,SF,7,Pamela KOR25,Daniel KOR27,L,R,1,53,4,0,11,44,0,0,0,0,1,0
2021-07-18,WTT Champions,CH,QF,7,Anna SWE06,Yuki GER51,R,R,36,19,5,4,20,44,0,0,0,0,0,1
2021-07-18,WTT Champions,CH,QF,7,Joao KOR20,Saki HKG33,R,R,5,51,4,1,55,41,0,0,0,0,1,0
2021-07-18,WTT Champions,CH,F,7,Anna BRA41,Min ROU46,R,R,32,45,4,1,37,57,1,1,0,1,1,0
2021-07-18,WTT Champions,CH,QF,7,Saki PRT14,Min ROU46,R,R,20,45,4,0,13,44,0,0,0,0,1,0
2021-07-18,WTT Champions,CH,F,7,Diogo SVK42,Ji-Hee USA18,R,L,7,43,4,0,21,44,0,0,0,0,1,0
2021-07-18,WTT Champions,CH,F,7,Chen-Yu TPE23,Mima KOR16,R,R,8,46,4,0,44,12,0,0,0,0,1,0
2021-07-19,WTT Champions,CH,R16,7,Ethan HKG37,Min ROU46,L,R,13,45,4,0,16,44,0,0,0,0,1,0
2021-07-19,WTT Champions,CH,R16,7,Sun KOR02,Wei GER00,R,L,26,21,4,3,56,77,0,0,0,0,1,0
2021-07-19,WTT Champions,CH,R16,7,Wei AUT36,Aarush PRT28,R,R,9,28,4,0,45,24,1,1,0,1,1,0
2021-07-19,WTT Champions,CH,SF,7,Anders POL53,Ji-Hee GER49,R,R,12,57,4,0,14,44,0,0,0,0,1,0
2021-07-19,WTT Champions,CH,SF,7,Felix BRA34,Yuki GER51,R,R,35,19,4,3,78,55,1,1,0,1,1,0
2021-07-19,WTT Champions,CH,QF,7,Wei GER00,Sun USA44,L,R,21,23,4,0,25,44,0,0,0,0,1,0
2021-07-19,WTT Champions,CH,QF,7,Sun SVK11,Petar ESP24,L,R,40,11,5,4,35,48,0,1,1,1,0,1
2021-07-19,WTT Champions,CH,R32,7,Yuki ESP58,Anders POL53,R,R,25,12,5,4,24,44,0,0,0,0,0,1
2021-07-19,WTT Champions,CH,SF,7,Diogo SVK42,Saki HKG33,R,R,7,51,4,0,13,44,0,0,0,0,1,0
2021-07-19,WTT Champions,CH,SF,7,Daniel KOR27,Saki JPN55,R,R,53,10,5,4,9,44,0,0,0,0,0,1
2021-07-19,WTT Champions,CH,F,7,Lukas ROU07,Lukas ROU52,L,R,14,27,4,1,33,55,0,0,0,0,0,1
2021-07-19,WTT Champions,CH,QF,7,Min KOR38,Daniel KOR27,R,R,31,53,4,0,47,31,2,2,0,2,1,0
2021-07-19,WTT Champions,CH,SF,7,Ethan AUT48,Min ESP10,L,R,16,58,4,0,44,8,0,0,0,0,1,0
2021-07-19,WTT Champions,CH,R32,7,Saki BRA21,Pamela TPE30,R,R,42,33,5,4,22,44,0,0,0,0,0,1
2021-07-19,WTT Champions,CH,R32,7,Ji-Hee GER49,Daniel KOR27,R,R,57,53,5,4,44,16,0,0,0,0,0,1
2021-07-19,WTT Champions,CH,R32,7,Andrei KOR43,David AUT57,L,R,41,47,4,1,31,56,1,1,0,1,1,0
2021-07-19,WTT Champions,CH,R32,7,Sun USA44,Min USA54,R,R,23,60,4,0,21,44,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,QF,7,Daniel PRT17,Lukas ROU07,R,L,50,14,5,4,20,45,0,1,1,1,0,1
2021-07-20,WTT Champions,CH,SF,7,Pamela TPE30,Wen-Lin SWE40,R,R,33,54,4,0,18,44,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,R16,7,Aarush TPE32,Daniel KOR27,L,R,22,53,4,1,55,36,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,QF,7,Ji-Hee USA18,Ji-Hee GER01,L,R,43,39,4,0,24,44,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,F,7,Ji-Hee GER01,Andrei KOR43,R,L,39,41,5,4,47,77,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,SF,7,Pamela KOR25,Saki JPN55,L,R,1,10,4,0,9,44,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,R32,7,Lukas USA13,Felix FRA39,R,R,55,59,4,0,26,44,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,R16,7,Anders POL53,Min USA54,R,R,12,60,4,0,44,18,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,R32,7,Daniel PRT17,Wen-Lin SWE40,R,R,50,54,4,2,44,68,0,1,1,1,1,0
2021-07-20,WTT Champions,CH,R32,7,Sun SVK11,Ethan HKG37,L,L,40,13,5,4,67,36,0,1,1,1,0,1
2021-07-20,WTT Champions,CH,R64,7,Petar GER08,Felix GER26,R,R,6,52,4,0,19,44,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,R32,7,Ji-Hee GER29,Felix FRA39,R,R,4,59,4,0,14,44,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,F,7,Chen-Yu TPE23,Petar GER08,R,R,8,6,4,0,26,44,0,0,0,0,1,0
2021-07-20,WTT Champions,CH,R64,7,Wei GER00,Wei TPE05,L,R,21,44,4,0,20,44,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,R64,5,Saki HKG33,Sun SVK11,R,L,51,40,4,3,33,16,0,0,0,0,0,1
2021-07-24,WTT Feeder,FD,QF,5,Anna SWE06,Ji-Hee GER49,R,R,36,57,3,0,33,19,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,R16,5,Ji-Hee GER29,Min ESP10,R,R,4,58,3,0,14,33,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,SF,5,Lukas ROU52,Min ESP10,R,R,27,58,3,0,12,33,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,R64,5,Felix BRA34,Min ESP10,R,R,35,58,3,0,33,4,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,R16,5,Diogo SVK42,Min USA45,R,R,7,17,3,0,15,33,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,R32,5,Wen-Lin SWE40,Lukas USA13,R,R,54,55,4,3,27,44,0,0,0,0,0,1
2021-07-24,WTT Feeder,FD,R64,5,Min CHN56,Aarush PRT28,L,R,2,28,3,0,9,33,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,QF,5,Pamela KOR25,Ethan HKG37,L,L,1,13,3,0,13,33,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,SF,5,Ji-Hee GER29,Wei GER00,R,L,4,21,3,0,10,33,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,R32,5,Pamela KOR25,Yuki GER51,L,R,1,19,3,0,7,33,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,R64,5,Ho-Yan PRT59,Yuki ESP58,R,R,24,25,3,0,33,20,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,QF,5,Anna TPE15,Aarush TPE32,R,L,38,22,3,0,33,16,0,0,0,0,1,0
2021-07-24,WTT Feeder,FD,R64,5,Wei AUT36,Anna TPE15,R,R,9,38,3,0,10,33,0,0,0,0,1,0
2021-07-25,WTT Feeder,FD,F,5,Felix BRA34,Pawel POL50,R,R,35,56,3,0,17,33,0,0,0,0,1,0
2021-07-25,WTT Feeder,FD,QF,5,Felix BRA34,Yuki KOR12,R,R,35,49,3,0,33,9,0,0,0,0,1,0
2021-07-25,WTT Feeder,FD,SF,5,Wen-Lin SWE40,Petar GER08,R,R,54,6,4,3,33,14,0,0,0,0,0,1
2021-07-25,WTT Feeder,FD,R32,5,Wei GER00,Wen-Lin SWE40,L,R,21,54,3,0,21,33,0,0,0,0,1,0
2021-07-25,WTT Feeder,FD,F,5,Wei PRT31,Ji-Hee GER01,R,R,34,39,4,3,63,44,1,2,1,2,0,1
2021-07-25,WTT Feeder,FD,R64,5,Daniel PRT17,Wei PRT31,R,R,50,34,4,3,33,15,0,0,0,0,0,1
2021-07-25,WTT Feeder,FD,R32,5,Wei IND35,Yuki GER51,R,R,15,19,3,0,21,33,0,0,0,0,1,0
2021-07-25,WTT Feeder,FD,R64,5,Daniel PRT17,Sun SVK11,R,L,50,40,4,3,33,22,0,0,0,0,0,1
2021-07-25,WTT Feeder,FD,R32,5,Mima KOR16,Aarush TPE32,R,L,46,22,3,0,20,34,1,1,0,1,1,0
2021-07-25,WTT Feeder,FD,R16,5,Pawel POL50,Yuki KOR12,R,R,56,49,4,3,25,44,0,0,0,0,0,1
2021-07-25,WTT Feeder,FD,SF,5,Wei AUT36,Lukas ROU52,R,R,9,27,3,0,11,33,0,0,0,0,1,0
2021-07-25,WTT Feeder,FD,R16,5,Chen-Yu TPE23,Ho-Yan PRT59,R,R,8,24,3,0,33,13,0,0,0,0,1,0
2021-07-25,WTT Feeder,FD,R64,5,Andrei JPN19,Pawel POL50,R,R,3,56,3,0,33,13,0,0,0,0,1,0
2021-07-25,WTT Feeder,FD,R64,5,Diogo SVK42,Joao KOR20,R,R,7,5,3,0,33,15,0,0,0,0,1,0
2021-07-25,WTT Feeder,FD,R32,5,Chen-Yu TPE23,Felix PRT22,R,R,8,29,3,1,21,44,0,0,0,0,1,0
2021-07-25,WTT Feeder,FD,F,5,Maria PRT09,Wen-Lin SWE40,L,R,48,54,3,1,28,45,1,1,0,1,1,0
2021-07-25,WTT Feeder,FD,QF,5,Min CHN56,Pamela TPE30,L,R,2,33,3,0,33,18,0,0,0,0,1,0
2021-07-26,WTT Feeder,FD,SF,5,Min USA45,Wei GER00,R,L,17,21,3,1,44,27,0,0,0,0,1,0
2021-07-26,WTT Feeder,FD,F,5,Lukas ROU52,Saki PRT14,R,R,27,20,4,3,46,26,0,1,1,1,1,0
